URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2025/2025_w24.seq/31208.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_w24
Name	CA8393_2jun_iEDDAC_MeMeTet_over72h
Number	15
Position	BA6
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	6/9/2025 11:37:00 AM +02:00
Volume (µl)	7.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.048014
Signal Max.	108.215169
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.613333	0.2	0.684371
0.616667	0.2	0.651000
0.620000	0.2	0.617682
0.623333	0.2	0.584838
0.626667	0.2	0.553767
0.630000	0.2	0.525807
0.633333	0.2	0.501577
0.636667	0.2	0.480927
0.640000	0.2	0.463153
0.643333	0.2	0.447351
0.646667	0.2	0.432786
0.650000	0.2	0.418911
0.653333	0.2	0.405265
0.656667	0.2	0.391585
0.660000	0.2	0.378046
0.663333	0.2	0.365523
0.666667	0.2	0.355273
0.670000	0.2	0.347888
0.673333	0.2	0.342662
0.676667	0.2	0.338199
0.680000	0.2	0.333350
0.683333	0.2	0.327682
0.686667	0.2	0.321563
0.690000	0.2	0.315789
0.693333	0.2	0.310848
0.696667	0.2	0.306671
0.700000	0.2	0.302956
0.703333	0.2	0.299603
0.706667	0.2	0.296884
0.710000	0.2	0.295053
0.713333	0.2	0.293783
0.716667	0.2	0.292375
0.720000	0.2	0.290571
0.723333	0.2	0.288749
0.726667	0.2	0.287392
0.730000	0.2	0.286815
0.733333	0.2	0.287269
0.736667	0.2	0.289052
0.740000	0.2	0.292457
0.743333	0.2	0.297647
0.746667	0.2	0.304523
0.750000	0.2	0.312640
0.753333	0.2	0.321474
0.756667	0.2	0.330715
0.760000	0.2	0.340071
0.763333	0.2	0.349249
0.766667	0.2	0.358499
0.770000	0.2	0.368608
0.773333	0.2	0.380062
0.776667	0.2	0.392703
0.780000	0.2	0.406221
0.783333	0.2	0.420588
0.786667	0.2	0.436138
0.790000	0.2	0.453294
0.793333	0.2	0.471921
0.796667	0.2	0.491237
0.800000	0.2	0.510785
0.803333	0.2	0.531224
0.806667	0.2	0.553630
0.810000	0.2	0.578033
0.813333	0.2	0.603197
0.816667	0.2	0.627997
0.820000	0.2	0.652396
0.823333	0.2	0.677042
0.826667	0.2	0.702414
0.830000	0.2	0.728309
0.833333	0.2	0.754085
0.836667	0.2	0.779147
0.840000	0.2	0.802731
0.843333	0.2	0.823639
0.846667	0.2	0.840934
0.850000	0.2	0.854688
0.853333	0.2	0.865731
0.856667	0.2	0.875172
0.860000	0.2	0.884233
0.863333	0.2	0.894007
0.866667	0.2	0.905365
0.870000	0.2	0.919154
0.873333	0.2	0.935966
0.876667	0.2	0.955700
0.880000	0.2	0.977671
0.883333	0.2	1.001127
0.886667	0.2	1.025637
0.890000	0.2	1.051056
0.893333	0.2	1.077176
0.896667	0.2	1.103541
0.900000	0.2	1.129649
0.903333	0.2	1.155383
0.906667	0.2	1.181049
0.910000	0.2	1.206643
0.913333	0.2	1.231506
0.916667	0.2	1.254822
0.920000	0.2	1.275820
0.923333	0.2	1.293577
0.926667	0.2	1.307239
0.930000	0.2	1.316618
0.933333	0.2	1.322564
0.936667	0.2	1.326803
